iter	Passed	Remaining
0	108	32446
1	241	35918
2	369	36561
3	500	37051
4	647	38229
5	802	39300
6	930	38936
7	1100	40186
8	1237	40025
9	1499	43471
10	1864	48985
11	2062	49502
12	2207	48745
13	2375	48534
14	2540	48261
15	2732	48496
16	2959	49271
17	3199	50119
18	3384	50060
19	3587	50227
20	3786	50300
21	3930	49668
22	4114	49558
23	4296	49405
24	4492	49416
25	4703	49570
26	4896	49512
27	5097	49519
28	5319	49705
29	5467	49206
30	5632	48871
31	5774	48361
32	5910	47823
33	6052	47349
34	6226	47144
35	6436	47204
36	6679	47476
37	6879	47432
38	7094	47478
39	7244	47091
40	7407	46793
41	7675	47148
42	7882	47109
43	8058	46888
44	8215	46554
45	8356	46141
46	8534	45941
47	8701	45683
48	8858	45379
49	9006	45032
50	9150	44676
51	9280	44263
52	9438	43985
53	9589	43683
54	9736	43371
55	9911	43187
56	10096	43041
57	10226	42667
58	10408	42514
59	10582	42331
60	10785	42257
61	10883	41780
62	11063	41619
63	11227	41402
64	11356	41057
65	11482	40712
66	11606	40362
67	11727	40012
68	11839	39635
69	11986	39385
70	12152	39195
71	12318	39007
72	12505	38888
73	12672	38701
74	12830	38491
75	12974	38241
76	13108	37962
77	13180	37514
78	13307	37226
79	13483	37080
80	13626	36843
81	13763	36590
82	13933	36429
83	14052	36136
84	14207	35937
85	14359	35732
86	14535	35586
87	14721	35464
88	14917	35365
89	15071	35165
90	15237	34994
91	15404	34827
92	15586	34692
93	15739	34493
94	15904	34320
95	16055	34118
96	16201	33906
97	16332	33665
98	16466	33431
99	16580	33161
100	16704	32913
101	16841	32691
102	16991	32497
103	17163	32345
104	17340	32204
105	17483	31997
106	17609	31763
107	17762	31578
108	17878	31328
109	18027	31138
110	18376	31288
111	18595	31213
112	18755	31037
113	18909	30852
114	19065	30670
115	19217	30482
116	19373	30302
117	19545	30146
118	19678	29931
119	19785	29678
120	19901	29441
121	20028	29221
122	20153	29001
123	20272	28774
124	20399	28559
125	20537	28361
126	20622	28092
127	20769	27908
128	20910	27718
129	21045	27520
130	21179	27323
131	21316	27130
132	21442	26924
133	21568	26718
134	21743	26575
135	21904	26414
136	22032	26214
137	22207	26069
138	22339	25875
139	22457	25665
140	22596	25481
141	22723	25284
142	22877	25116
143	23011	24929
144	23172	24770
145	23244	24518
146	23387	24342
147	23498	24133
148	23625	23942
149	23764	23764
150	23930	23613
151	24018	23386
152	24182	23234
153	24330	23066
154	24465	22887
155	24598	22705
156	24748	22541
157	24828	22314
158	24957	22131
159	25049	21918
160	25236	21787
161	25391	21629
162	25526	21454
163	25658	21277
164	25813	21119
165	25989	20979
166	26170	20842
167	26407	20748
168	26656	20662
169	26842	20526
170	27055	20410
171	27241	20272
172	27402	20116
173	27532	19937
174	27659	19757
175	27748	19550
176	27907	19393
177	27980	19177
178	28130	19015
179	28261	18841
180	28422	18686
181	28557	18515
182	28753	18383
183	28833	18177
184	28978	18013
185	29128	17852
186	29281	17694
187	29420	17527
188	29497	17323
189	29657	17169
190	29820	17018
191	29991	16870
192	30204	16745
193	30422	16622
194	30612	16483
195	30794	16339
196	31039	16228
197	31261	16104
198	31644	16060
199	32100	16050
200	32300	15908
201	32487	15761
202	32692	15621
203	32893	15479
204	33072	15326
205	33231	15163
206	33317	14968
207	33508	14820
208	33695	14671
209	33971	14559
210	34195	14423
211	34382	14271
212	34577	14123
213	34742	13962
214	34875	13787
215	35041	13627
216	35210	13467
217	35350	13296
218	35491	13126
219	35678	12973
220	35854	12816
221	36056	12668
222	36209	12502
223	36441	12364
224	36674	12224
225	36927	12091
226	37189	11959
227	37447	11825
228	38032	11791
229	38263	11645
230	38515	11504
231	38752	11358
232	38928	11193
233	39105	11029
234	39246	10855
235	39384	10680
236	39533	10508
237	39703	10343
238	39851	10171
239	39993	9998
240	40118	9821
241	40255	9647
242	40387	9473
243	40531	9302
244	40681	9132
245	40843	8965
246	41006	8798
247	41147	8627
248	41308	8460
249	41446	8289
250	41635	8127
251	41801	7962
252	42006	7803
253	42209	7644
254	42404	7483
255	42511	7306
256	42741	7151
257	42968	6994
258	43242	6845
259	43849	6746
260	44099	6589
261	44279	6422
262	44458	6254
263	44622	6084
264	44755	5911
265	44916	5741
266	45069	5570
267	45249	5402
268	45443	5237
269	45591	5065
270	45779	4898
271	45988	4734
272	46302	4579
273	46554	4417
274	47014	4274
275	47370	4119
276	47730	3963
277	47971	3796
278	48170	3625
279	48373	3455
280	48558	3283
281	48760	3112
282	48906	2937
283	49028	2762
284	49160	2587
285	49300	2413
286	49443	2239
287	49585	2066
288	49721	1892
289	49852	1719
290	50016	1546
291	50183	1374
292	50348	1202
293	50485	1030
294	50621	857
295	50764	686
296	50961	514
297	51229	343
298	51404	171
299	51665	0
